Sıra No;İl;OSB Adı;Durum;Telefon;E-Posta;Web Sitesi;Adres;Firma Listesi
339;Sakarya;Sakarya II;İŞLETMEDE (FAALİYETTE);(264) 654-5833;s2osb@s2osb.org.tr;www.s2osb.org.tr;Sakarya 2.Osb Müdürlüğü, Kargalıhanbaba Osb Mah., 1.Yol, No:11 Hendek - Sakarya;
340;Sakarya;Sakarya III;İŞLETMEDE (FAALİYETTE);(264) 681-4710;sakarya3osb@hotmail.com;www.s3osb.org.tr;Sakarya 3.Osb Müdürlüğü, Soğucak Mah. Küme Evler No:48 Söğütlü - Sakarya;
341;Sakarya;Sakarya Kaynarca Doğu Marmara Makine İmalatçıları İhtisas;İŞLETMEDE (FAALİYETTE);(264) 871-2500;info@domiosb.org.tr;www.domiosb.org.tr;Merkez Mahalle, Hüsnü Aydın Cad. Kaynarca Kültür Merkezi 54650 No:7-108 Kat:2 Kaynarca - Sakarya;
342;Sakarya;Sakarya Otomotiv ve Metal İhtisas;ALTYAPI HAZIRLANIYOR;(264) 888-3000;1@1;www.somiosb.org.tr;SATSO, Şehit Onbaşı Zekeriya Gözyuman Caddesi, No:27 Arifiye - Sakarya;
343;Sakarya;Sakarya Söğütlü;KAMULAŞTIRMA YAPILIYOR;(264) 888-3000;sogutluosb@gmail.com;www.sogutluosb.org.tr;SÖĞÜTLÜ OSB, SATSO Hanlı Merkez, Sakarya Mah. Şehit Onbaşı Zekeriya Gözyuman Cad 27-A Arifiye - SAKARYA;
344;Samsun;Çarşamba;İŞLETMEDE (FAALİYETTE);(362) 502-0055;carsambaosb@gmail.com;www.carsambaosb.com;ÇARŞAMBA OSB, Üçköprü Mah. 3.cadde Kapı No:10 Çarşamba - Samsun;
345;Samsun;Samsun Bafra;İŞLETMEDE (FAALİYETTE);(362) 542-4236;info@bafraosb.org;www.bafraosb.org;Doğankaya Mah. Organize Sanayi Bölgesi 4.Cad. No:6 Bafra - Samsun;
346;Samsun;Samsun Bafra (Sera) TDİ;İŞLETMEDE (FAALİYETTE);(362) 543-1075;info@bafraseraosb.org;www.seraosb.org;(Bafra Tic.San.Od.), Hacı Nabi Mah. Tekel cad No:53 - Bafra - Samsun;
347;Samsun;Samsun Gıda İhtisas;İŞLETMEDE (FAALİYETTE);03625032211;samsungidaosb@gmail.com;www.samsungidaosb.org.tr;Samsun Gıda OSB, Çiftlikosb Mahallesi 2. Cadde No:42 55300 Tekkeköy - Samsun;
348;Samsun;Samsun Havza;İŞLETMEDE (FAALİYETTE);(362) 714-5500;havzaosb@gmail.com;www.havzaosb.org.tr;Bekdiğin mahallesi, Havza osb cad. No 21 Havza-Samsun;
349;Samsun;Samsun Kavak;İŞLETMEDE (FAALİYETTE);(362) 741-5034;info@kavakosb.org.tr;www.kavakosb.org.tr;Kavak OSB, Yeni Cami OSB Mah. 1. Cadde No:4 Kavak - Samsun;
350;Samsun;Samsun Merkez;İŞLETMEDE (FAALİYETTE);(362) 266-5800;info@samsunosb.org.tr;www.samsunosb.org.tr;Samsun Merkez Osb Müdürlüğü - Vali Mah. Erdoğan Cebeci Bulvarı No. 48 Tekkeköy - Samsun;
351;Samsun;Samsun Yeni;İŞLETMEDE (FAALİYETTE);03624316475;samsunyeniosb@gmail.com;www.samsunyeniosb.org.tr;Samsun Gıda OSB, Çiftlikosb Mahallesi 2. Cadde No:42 55300 Tekkeköy - Samsun;
352;Samsun;Terme Karma;ALTYAPI HAZIRLANIYOR;03628761002;termebelediyesi@hs01.kep.tr;;Cumhuriyet Meydanı, 55600 Terme - Samsun;
353;Samsun;Vezirköprü Karma;ALTYAPI HAZIRLANIYOR;03626471001;info@osbuk.org.tr;www.vezirkopruosb.org;Fazıl Ahmet Paşa Mah.Köprülüler Cad. 41/20 Atatürk İş Merkezi 55900 Vezirköprü - SAMSUN;
354;Samsun;Yakakent Su Ürünleri İşleme İhtisas OSB;KAMULAŞTIRMA YAPILIYOR;(362) 611-2104;yakakentosb@gmail.com;;Merkez Mah. Cumhuriyet Meydanı, Hükümet Konağı No:1/101 Yakakent - Samsun;
355;Siirt;Siirt;İŞLETMEDE (FAALİYETTE);(484) 223-3801;osbsiirt56@gmail.com;www.siirtosb.org;Siirt Osb, 1289 Nolu Parsel, Dolu Harman Köyü Merkez - Siirt;
356;Sinop;Boyabat;İŞLETMEDE (FAALİYETTE);(368) 315-8164;boyabatorganizesanayi@hotmail.com;www.boyabatosb.com.tr;Camikebir Mah. Adnan Menderes Blv. Yeni Kaymakamlık Binası Kat:3 No:11 Boyabat - Sinop;
357;Sinop;Sinop;İŞLETMEDE (FAALİYETTE);(368) 284-7166;sinoposb@hotmail.com;www.sinoposb.org.tr;Sinop Osb, Merkez Demirci Köyü Mevkii Sinop Osb Merkez - Sinop;
358;Sivas;Demirağ;İŞLETMEDE (FAALİYETTE);3465025455;info@demiragosb.org.tr;www.demiragosb.org.tr;Demirağ Osb, Sivas-Erzincan Karayolu 23.Km Doğanca Köyü, 1. Sokak, No:2 Merkez - Sivas;
359;Sivas;Sivas Gemerek;İŞLETMEDE (FAALİYETTE);(346) 614-1001;sivasgemerekosb@gmail.com;www.gemerekosb.org.tr;Bahçeli Mah. Uzunbayır Sok. No:2 Seyrantepe Gemerek - Sivas;
360;Sivas;Sivas Merkez I;İŞLETMEDE (FAALİYETTE);(346) 218-1400;sivas@sivasosb.org.tr;www.sivasosb.org.tr;Sivas Osb, Sivas-Erzincan Karayolu 7.Km Osb Iı.Kısım 5.Cad. 10.Sokak No:2 Merkez - Sivas;
361;Sivas;Sivas Şarkışla;İŞLETMEDE (FAALİYETTE);(346) 512-1004;hancerlizade@gmail.com;www.sarkislaosb.org.tr;Şarkışla Osb Müdürlügü, Hükümet Konagı Kat : 3 58400 Şarkışla - Sivas;
362;Sivas;Şarkışla TDİ;ALTYAPI HAZIRLANIYOR;(346) 512-1004;hancerlizade@gmail.com;;Hükümet Binası, Kayalıyokuş Mahh. Cumhuriyet Cad. 3.Kat Şarkışla-SİVAS;
363;Şanlıurfa;Birecik;İŞLETMEDE (FAALİYETTE);(414) 652-1165;info@birecikosb.org.tr;www.birecikosb.org.tr;Birecik OSB, Kocaali Mahallesi Hacı Sadettin BİLGİN Sokak No:8 Birecik - Şanlıurfa;
364;Şanlıurfa;Siverek;İŞLETMEDE (FAALİYETTE);(414) 552-1023;info@siverekorganize.org;www.siverekosb.org;Siverek Kaymakamlığı, Camikebir Mh. Atatürk Bulvarı, No:101 Siverek - Şanlıurfa;
365;Şanlıurfa;Şanlıurfa;İŞLETMEDE (FAALİYETTE);(414) 369-1640;info@suosb.org.tr;www.suosb.org.tr;"Şanlıurfa OSB; Şanlıurfa Gaziantep Karayolu 15 Km - Eyyübiye - Şanlıurfa";
366;Şanlıurfa;Şanlıurfa Gıda İhtisas;İŞLETMEDE (FAALİYETTE);(414) 314-5999;bilgi@sugiosb.org;www.sugiosb.org;Şanlıurfa-Gaziantep Karayolu 18.km Koçören Mah. 601. cadde, No:4 Eyyübiye - Şanlıurfa;
367;Şanlıurfa;Şanlıurfa TDİ;İŞLETMEDE (FAALİYETTE);(532) 362-6475;info@urfatdiosb.org;www.urfatdiosb.org;Çalışkanlar Mah. 1 Cad. 60/1 Eyyübiye - Şanlıurfa;
368;Şanlıurfa;Şanlıurfa Viranşehir;İŞLETMEDE (FAALİYETTE);(414) 533-1023;viransehirosb.63@hotmail.com;www.viransehirosb.org.tr;Akçataş Mah. Organize Sanayi Bölgesi, Dr. Yalçın Yılmaz Cad. No:1 Viranşehir - Şanlıurfa;
369;Şırnak;Şırnak;İŞLETMEDE (FAALİYETTE);(486) 216-5905;sirnaktso@gmail.com;www.sirnakosb.org.tr;Tso Hizmet Odası, Vakıfkent Mah., Şht.Üstğm. M.Esin Cad., No:16 - Şırnak;
370;Şırnak;Şırnak Cizre;İŞLETMEDE (FAALİYETTE);(486) 502-3434;cizreosb@hotmail.com;www.cizreosb.org;"Cizre Osb; Nusaybin Yolu 17 Km, Kurucu Köyü - Cizre - Şırnak";
371;Şırnak;Şırnak Silopi TDİ (Sera);ALTYAPI HAZIRLANIYOR;(486) 216-1039;bilgi@sirnakozelidare.gov.tr;www.sirnakozelidare.gov.tr;Şırnak il özel idaresi. Cumhuriyet mah. Atatürk cad. no:40 Merkez - Şırnak;
372;Tekirdağ;Çerkezköy;İŞLETMEDE (FAALİYETTE);(282) 758-1156;cosb@cosb.org.tr;www.cosb.org.tr;Çosb İsmetpaşa Mah. Fatih Bulvarı No:6 59510 Kapaklı - Tekirdağ;
373;Tekirdağ;Çorlu 1;İŞLETMEDE (FAALİYETTE);(282) 673-7808;info@corlu1osb.org.tr;www.corlu1osb.org.tr;Çorlu Ticaret Ve Sanayi Odası, Zafer Mahallesi Şehitler Caddesi No:6 - Çorlu - Tekirdağ;
374;Tekirdağ;Çorlu deri İhtisas ve karma;İŞLETMEDE (FAALİYETTE);(282) 651-2709;bilgi@corluderiosb.org.tr;www.corluderiosb.org.tr;Marmaracık Osb Mah. Mimar Sinan Cad. No:8 Ergene - Tekirdağ;
375;Tekirdağ;Ergene-1;İŞLETMEDE (FAALİYETTE);(282) 672-2304;info@ergene1osb.org;www.ergene1osb.org;Ergene 1 OSB, Vakıflar Osb Mahallesi, Sanayi Caddesi, Arıtma Sokak, 4-1 Ergene - Tekirdağ;
376;Tekirdağ;Ergene-2;İŞLETMEDE (FAALİYETTE);(282) 655-5033;bilgi@ergene2osb.org.tr;www.ergene2osb.org.tr;Ulaş Osb Mah. 206 Sok. No:2 Ergene 2 Osb (Kits Brode Tekstil San. Ve Tic. A.Ş. Firması Yanı) - Ergene - Tekirdağ;
377;Tekirdağ;Hayrabolu;İŞLETMEDE (FAALİYETTE);(282) 315-1515;info@hayraboluosb.org.tr;www.hayraboluosb.org.tr;Hisar Mahallesi Şair Mehmet Mahvi Sok. No:2 Kat:3 Hayrabolu - Tekirdağ;
378;Tekirdağ;Kapaklı;İŞLETMEDE (FAALİYETTE);(282) 758-3813;bilgi@kapakliosb.org.tr;www.kapakliosb.org.tr;(Kapaklı Belediyesi Karaağaç Ek Hizmet Binası), Mimar Sinan Mah. Baran sok. No:5 Kat:3 Kapaklı - Tekirdağ;
379;Tekirdağ;Malkara;İŞLETMEDE (FAALİYETTE);(282) 427-9101;info@malkaraosb.org.tr;www.malkaraosb.org.tr;Malkara Osb Müdürlüğü, Çavuşköy Mah. Ergenekon Cad. No:6 Malkara - Tekirdağ;
380;Tekirdağ;Marmaraereğlisi;İŞLETMEDE (FAALİYETTE);(282) 613-0464;info@marsab.org.tr;www.marsab.org.tr;Marmaraereğlisi OSB Müdürlüğü, Cedid Ali Paşa Mah. Sahil Cad. No:13/A Marmaraereğlisi - Tekirdağ;
381;Tekirdağ;Muratlı;İŞLETMEDE (FAALİYETTE);(282) 361-7070;info@muratliosb.org;www.muratliosb.org;Muratlı Osb, İstiklal-Kurtpınar Osb Mah. 10.Sok. No:4 (Arıtma Tesisi) Pk:59700 Muratlı - Tekirdağ;
382;Tekirdağ;Pakop Plastik İhtisas;PLANLAMA AŞAMASINDA;(212) 447-4851;pakop@pakop.org.tr;www.pakop.org.tr;Mahmutbey Mah. Taşocağı Yolu Cad. No:7 Zemin Kat Bağcılar - İstanbul;
383;Tekirdağ;Veliköy;İŞLETMEDE (FAALİYETTE);(282) 747-6601;info@vosb.org.tr;www.vosb.org.tr;Veliköy Mah. Sanayi Bulvarı No:54-A Çerkezköy - Tekirdağ;
384;Tekirdağ;Velimeşe;İŞLETMEDE (FAALİYETTE);(282) 673-8150;info@velimeseosb.org.tr;www.velimeseosb.org.tr;Velimeşe Osb Mah. 3. Yanyol Cad. No:1-2 Ergene - Tekirdağ;
385;Tekirdağ;Yalıboyu;İŞLETMEDE (FAALİYETTE);(282) 673-6559;bilgi@yaliboyuosb.org.tr;www.yaliboyuosb.org.tr;Çerkezköy Tso Binası (1.Kat Oda 1-2) Gazi Osman Paşa Mahallesi Fevzi Paşa Caddesi No : 5-1 Çerkezköy - Tekirdağ;
386;Tokat;Erbaa Toprak Sanayi İhtisas ve Karma;İŞLETMEDE (FAALİYETTE);(356) 716-1815;erbaaorganizesanayi@gmail.com;www.erbaaosb.org.tr;İsmetpaşa Mah.Dr.Sermet Durmuşoğlu Cad.Hükümet Konağı Kat:2 Erbaa-Tokat;
387;Tokat;Niksar;İŞLETMEDE (FAALİYETTE);(356) 527-8151;niksar.osb@gmail.com;;Niksar Belediyesi, Yusufşah Mahallesi, F.S.M Cad. No:151 - Niksar - Tokat;
388;Tokat;Tokat Merkez;İŞLETMEDE (FAALİYETTE);(356) 232-9756;o.s.b.tokat@gmail.com;;Tokat-Merkez Osb Müdürlüğü İdari Binası, Kat:1, Merkez - Tokat;
389;Tokat;Tokat-Turhal;İŞLETMEDE (FAALİYETTE);(356) 275-5570;turhalosb@hotmail.com;www.turhalosb.org;Cumhuriyet Mahallesi Turgut Özal Caddesi 3/A (Turhal İlçe Özel İdare Müdürlüğü hizmet binası 2.kat) Turhal - TOKAT;
390;Tokat;Zile;İŞLETMEDE (FAALİYETTE);(356) 317-1086;bilgi@zileosb.org.tr;www.zileosb.org.tr;Bahçelievler Mah. Maden cad.Yeni Hükümet Konağı Kat: 3 No:02 Zile - Tokat;
391;Trabzon;Araklı Hazır Giyim/Tekstil İhtisas;KAMULAŞTIRMA YAPILIYOR;(462) 721-6228;araklibelediyesi@arakli.bel.tr;;Kalecik Mah. Kumlama Mevkii, Araklı-Trabzon;
392;Trabzon;Şinik (Akçaabat);İŞLETMEDE (FAALİYETTE);(462) 321-4680;sinikosb@gmail.com;www.sinikosb.com;Şinik Osb Mahallesi, 1 No'Lu Cadde No:7 (61300) Akçaabat - Trabzon;
393;Trabzon;Trabzon Arsin;İŞLETMEDE (FAALİYETTE);(462) 711-3710;info@tosbol.org.tr;www.tosbol.org.tr;Arsin Osb Müdürlüğü, Yeşilyalı Mah. 9. nolu Cadde No: 2-1 - 61900 Arsin - Trabzon;
394;Trabzon;Trabzon Beşikdüzü;İŞLETMEDE (FAALİYETTE);(462) 248-5001;info@besosb.com;www.besosb.com;Trabzon Beşikdüzü Osb Müdürlüğü 4. Nolu Cadde No: 4 Beşikdüzü - Trabzon;
395;Trabzon;Vakfıkebir (Trabzon);ALTYAPI HAZIRLANIYOR;(462) 321-4680;vakfikebirosb@hotmail.com;www.vakfikebirosb.org.tr;OSB, Çarşı Mahallesi, Gülbahar Hatun Caddesi No:158 Vakfıkebir - Trabzon;
396;Tunceli;Tunceli;İŞLETMEDE (FAALİYETTE);(428) 213-1057;tunceliosb1@gmail.com;www.tunceliosb.org.tr;Özel İdare Binası, A Blok, Yenimahalle - Tunceli;
397;Uşak;Banaz;İŞLETMEDE (FAALİYETTE);02763151035;banazosb@gmail.com;www.banazosb.org.tr;Banaz Osb Başkanlığı, Banaz Belediyesi, Cumhuriyet Mahallesi Milli Egemenlik Caddesi No:1 Banaz - Uşak;
398;Uşak;Uşak;İŞLETMEDE (FAALİYETTE);(276) 266-7171;bilgi@uosb.org.tr;www.uosb.org.tr;Uşak Osb Müdürlüğü, Uşak - İzmir Karayolu, 18.Km. 111.Cd, No:365 - Uşak;
399;Uşak;Uşak Banaz TDİ(Jeo.Kayn.Sera);PLANLAMA AŞAMASINDA;02762231270;bilgi@usakilozelidaresi.gov.tr;;Uşak İl Özel İdaresi, Ünalan Mahallesi Atatürk Bulvarı No:102, 64100 Merkez - Uşak;
400;Uşak;Uşak Deri (karma);İŞLETMEDE (FAALİYETTE);(276) 234-0001;info@ukosb.org.tr;www.ukosb.org.tr;Uşak Deri OSB 64000 Karma OSB - Uşak Merkez - Uşak;
401;Uşak;Uşak Karahallı;İŞLETMEDE (FAALİYETTE);(276) 517-1027;bilgi@karahalliosb.org.tr;www.karahalliosb.org.tr;Konak Mahallesi, Cemil Özer Sokak, No:2 Kat:2 - Daire:203 - (64700) - Karahallı - Uşak;
402;Van;Erciş;İŞLETMEDE (FAALİYETTE);(432) 351-6231;ercisosb@gmail.com;www.ercisosb.org.tr;Ticaret Ve Sanayi Odası Hizmet Binası - Haşmet Bedii, Kürüm Caddesi No: 20 Erciş - Van;
403;Van;Van;İŞLETMEDE (FAALİYETTE);(432) 226-0066;vanosb@vanosb.org.tr;www.vanosb.org.tr;Van OSB Müdürlüğü, Erciş Yolu Üzeri 11.Km (Kampüs Binası Karşısı) - Tuşba - Van;
404;Van;Van TDİ (Besi);PLANLAMA AŞAMASINDA;(432) 210-0055;vantso@vantso.org.tr;vanbesiosb.org.tr;Vali mithatbey Mah. İskele Cad. Van TSO Hizmet Binası No:51 Kat:3 İpekyolu - Van;
405;Yalova;Yalova Avrasya Giyim ve Gemi İhtisas;İŞLETMEDE (FAALİYETTE);(226) 812-0011;info@avrasyaosb.com.tr;www.avrasyaosb.com.tr;Avrasya Giyim Osb, Yalova Ptt Merkezi Pk:6 77100 - Yalova;
406;Yalova;Yalova Çiçekçilik TDİOSB;PLANLAMA AŞAMASINDA;(226) 814-1224;info@yalovacicekcilikosb.org.tr;www.yalovacicekcilikosb.org.tr;Yalova Çiçekçilik Tdiosb, Rüstem Paşa, Dere Sk. No:9 Merkez - Yalova;
407;Yalova;Yalova Kalıp İmalatı İhtisas;KAMULAŞTIRMA YAPILIYOR;(224) 261-5892;ukub@ukub.org.tr;www.ukub.org.tr;Ulusal Kalıp Üreticileri Birliği - Alaaddin Bey Mah.Pazar Cd. Sera Plaza 29-D-4 Nilüfer - Bursa;
408;Yalova;Yalova Kompozit ve Kimya İhtisas;İŞLETMEDE (FAALİYETTE);02263532395;info@yalkimosb.org.tr;www.yalkimosb.org.tr;Merkez Mahallesi, Ali Raif Dinçkök Caddesi No:2, Taşköprü - Çiftlikköy - Yalova;
409;Yalova;Yalova Makina İhtisas;İŞLETMEDE (FAALİYETTE);(226) 808-0990;info@yalovaimesosb.org;www.yalovaosb.org;Yalova Makine İhtisas OSB, Merkez Mevkii Mustafa Varank Cad. No:4 1/ Laledere Köyü/ Çiftlikköy - Yalova;
410;Yozgat;Bozok;ALTYAPI HAZIRLANIYOR;03542121048;bozokosb@gmail.com;www.bozokosb.org;Bozok Osb, Yozgat Valiliği Hizmet Binası Kat:3 - Yozgat;
411;Yozgat;Fuat Oktay;İŞLETMEDE (FAALİYETTE);(354) 645-2000;bogazliyanosb@hotmail.com;fuatoktayosb.org;Boğazlıyan Belediyesi, Çarşı, 66400 Boğazlıyan - Yozgat;
412;Yozgat;Kaleseramik ( ÖZEL );İŞLETMEDE (FAALİYETTE);(354) 516-1717;kaleseramikosb@kale.com.tr;www.kaleseramikosb.org.tr;Kaleseramik OSB, Karacaşar Mahallesi Köprübaşı Mevkii No:1 Yerköy - Yozgat;
413;Yozgat;Yozgat;İŞLETMEDE (FAALİYETTE);(354) 558-1191;osbyozgat@gmail.com;www.yozgatosb.org.tr;Yozgat Osb Müdürlüğü - Yerköy - Yozgat;
414;Yozgat;Yozgat Yerköy (Jeo.Kayn.Sera) TDİOSB;PLANLAMA AŞAMASINDA;(354) 516-1188;yerkoytdiosb@gmail.com;www.yerkoytdiosb.org.tr;Haşim Kılıç Mah. Hükümet Cad. Kaymakamlık Binası Kat:3 Yerköy - Yozgat;
415;Zonguldak;Çaycuma (Sera) TDİ;İŞLETMEDE (FAALİYETTE);(372) 638-6456;ozzokur@hotmail.com;www.caycumaseraosb.org.tr;Çaycuma TDIOSB, Velioğlu OSB Mah. OSB 4 Nolu Sok. No:10/1 Çaycuma - Zonguldak;
416;Zonguldak;Zonguldak Alaplı;İŞLETMEDE (FAALİYETTE);(372) 378-0404;bilgi@alapliosb.org.tr;www.alapliosb.org.tr;Alaplı OSB, Alaplı Hükümet Konağı Kat:2 Alaplı - Zonguldak;
417;Zonguldak;Zonguldak Çaycuma;İŞLETMEDE (FAALİYETTE);(372) 638-6456;caycumaosb@gmail.com;www.cayorsan.org.tr;Velioğlu Mah. Samyeli Cad. No: 183 (67900) Çaycuma - Zonguldak;
418;Zonguldak;Zonguldak Ereğli;İŞLETMEDE (FAALİYETTE);(372) 323-1594;info@zeosb.org.tr;www.zeosb.org.tr;Hamzafakıhlı Mah. Organize Sanayi Bölgesi 2 Nolu Yol Cd. No:6 Karadeniz Ereğli - Zonguldak;
419;Zonguldak;Zonguldak Gökçebey;PLANLAMA AŞAMASINDA;;gokcebeyosb@gmail.com;www.zonguldakgokcebeyosb.org.tr;Velioğlu OSB Mahallesi, OSB 4 Nolu sokak No:10 Çaycuma - Zonguldak;
