Firma Adı;Sektör;Telefon;Web Sitesi;Domain;Adres
TEKNİK METAL ENDÜSTRİ MALZ.TİC.VE SAN. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4987;http://www.teknikmetal.com;teknikmetal.com;Acidereosb Mahallesi Süleyman Demirel Bulvari No: 25
Teknika Teknik Taah. Mak. İnş. Bilg. San. ve Tic. A. Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90(216)909-6840;https://teknikateknik.com.tr/;teknikateknik.com.tr;Acıdereosb Mahallesi Nilüfer Sokak 2 Adana Sarıçam
TEKNOPAK MİKRODALGA KUTU AMB. SAN. VE TİC.A.Ş.;Kağıt ve Kağıt Ürünlerinin İmalatı;+90 (322)394-3615;http://www.teknopakambalaj.com;teknopakambalaj.com;Acidereosb Mahallesi Toros Caddesi No: 3
TEMİZ-İŞ TENEKE AMB.SAN.VE TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4439;http://www.temizistenekeambalaj.com;temizistenekeambalaj.com;Acidereosb Mahallesi Atatürk Bulvari No: 61
TERMA YAPI KİMYASALARI DEK.İNŞ.SAN.VE TİC.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-3101;http://www.termatect.com.tr;termatect.com.tr;Acidereosb Mahallesi Ismet Atli Caddesi No: 7
TEZ TARIM ÜRÜNLERİ LİSANSLI DEPOCULUK SAN. VE TİC. A. Ş.;Gıda Ürünleri İmalatı;+90 (322)394-4875;http://www.tezkim.com;tezkim.com;Acidereosb Mahallesi Istiklal Caddesi No: 20
Tezcanlar Yatırım A.Ş.;Diğer İmalatlar;;https://tezkim.com/;tezkim.com;Acıdereosb Mahallesi İstiklal Caddesi No: 20 Adana Sarıçam
TEZKİM TAR.KİM.İNŞ.SAN.VE TİC. A.Ş.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4873;http://www.tezkim.com;tezkim.com;Acidereosb Mahallesi Istiklal Caddesi No: 20
TG MUTFAK EŞYALARI SAN. VE TİC. A. Ş.;Fabrikasyon Metal Ürünleri İmalatı;0322 435 1112;http://turgutlarmutfak.com.tr/;turgutlarmutfak.com.tr;Acıdere Mah. 19 Mayıs Cad. No:13/2 Hacı Sabancı Organize Sanayi Bölgesi/Sarıçam/Adana
TİFTİK MADENCİLİK NAKLİYE İNŞ.MAKİNA PETROL VE KİMYEVİ ÜRN.SAN. VE TİC.LTD.ŞTİ.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı;444-9281;http://www.tiftikbeton.com.tr;tiftikbeton.com.tr;Acidereosb Mahallesi Ismet Atli Caddesi No: 18
TOROS KUMAŞ APRE BOYA SAN.VE TİC.LTD.ŞTİ.;Tekstil Ürünlerinin İmalatı;+90 (322)394-3600;http://www.toroskumasboya.com;toroskumasboya.com;Acidereosb Mahallesi Vatan Caddesi No: 6
TOROS YAPISAL ÇELİK İMALAT SAN. VE TİC. A. Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3342;http://www.torosconstruction.com;torosconstruction.com;Acidereosb Mahallesi 5 Ocak Caddesi No: 10
TOYAS TEKNİK MAKİNA SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4776;http://www.toyasteknik.com;toyasteknik.com;Acidereosb Mahallesi Gürgen Sokak No: 3
TUSEM PLASTİK AMBALAJ SAN. VE TİC. LTD. ŞTİ.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 322 428 45 77;https://tusemplastik.com/;tusemplastik.com;Acıdereosb Mahallesi Ceyhan Caddesi No: 17  Sarıçam / Adana
TÜR VAR GROUP AMBALAJ MAKİNA SAN. VE TİC. LTD. ŞTİ.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;0322 428 6275;https://turvargroup.com/;turvargroup.com;Acıdere Osb Mh. Hilal Cd. No:12 Sarıçam / Adana / Türkiye
Türkiye Halk Bankası A.Ş.;Diğer İmalatlar;;https://www.halkbank.com.tr/;halkbank.com.tr;Acıdereosb Mahallesi Turgut Özal Bulvarı 15 Adana Sarıçam
TÜRKİYE İŞ BANKASI A.Ş.;Diğer İmalatlar;+90 (322)394-4914;http://www.isbank.com.tr;isbank.com.tr;Acidereosb Mahallesi Turgut Özal Bulvari No: 13
TÜRKİYE VAKIFLAR BANKASI T.A.O.;Diğer İmalatlar;+90 (322)394-3506;http://www.vakifbank.com.tr;vakifbank.com.tr;Acidereosb Mahallesi Turgut Özal Bulvari No: 17
ULAŞ DÖKÜM VE VANA SANAYİ TİCARET LİMİTED ŞİRKETİ;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-4214;http://www.ulasvana.com;ulasvana.com;Acidereosb Mahallesi Istiklal Caddesi No: 14
ULUSOY TEKSTİL SAN.VE TİC. A.Ş.;Tekstil Ürünlerinin İmalatı;+90 (322)394-4020;http://www.ulusoytekstil.com;ulusoytekstil.com;Acidereosb Mahallesi Çukurova Caddesi No: 9
UR-SA PLASTİK AMBALAJ VE TEKSTİL A.Ş.;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)394-3745;http://www.ursa.com.tr;ursa.com.tr;Acidereosb Mahallesi Sabanci Caddesi No: 6
Uygunsoy Malzemecilik Mob. Aks. Teks. Day. Tük. Mal. San. ve Tic. Ltd. Şti.;Fabrikasyon Metal Ürünleri İmalatı;+90(322)503-9084;https://veray.com.tr;veray.com.tr;Acıdereosb Mahallesi Toroslar Caddesi No: 13 Adana Sarıçam
ÜN-HAK METAL MUTFAK GER.GIDA TEKS. KUYUMC. PLAS.SAN.VE TİC.LTD.ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)428-6721;http://www.unhak-metal.com.tr;unhak-metal.com.tr;Acidereosb Mahallesi Hilal Caddesi No: 3
ÜNVEREN HAVA SİS. SAN. VE TİC. A.Ş.;Başka Yerde Sınıflandırılmamış Makina ve Ekipman İmalatı;+90 (322)352-2885;http://www.unveren.com.tr;unveren.com.tr;Acidereosb Mahallesi 23 Nisan Caddesi No: 12
Vdexport İç ve Dış Ticaret Anonim Şirketi;Gıda Ürünleri İmalatı;0545 838 2601;https://vodocnr.com.tr/tr/;vodocnr.com.tr;Acıdereosb Mahallesi Toros Caddesi 2 Adana Sarıçam
VURAL PLASTİK VE AMBALAJ SANAYİ VE TİCARET PAZARLAMA İTHALAT VE İHRACAT ANONİM ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;+90 (322)441-0810;http://www.vuralplastik.com.tr;vuralplastik.com.tr;Acidereosb Mahallesi Seyhan Caddesi No: 2
Wünter Klima Gazları İnşaat San. Tic. Ltd. Şti.;Fabrikasyon Metal Ürünleri İmalatı;+90(322)441-2123;https://wuntertemizlik.com;wuntertemizlik.com;Acıdereosb Mahallesi Abdullah Gül Bulvarı No: 23 Adana Sarıçam
YAVUZ TEKNİK PASLANMAZ ÇELİK TESİSAT  MALZEMELERİ SAN. VE TİC. LTD. ŞTİ.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-5010;http://www.yavuzteknik.com;yavuzteknik.com;Acidereosb Mahallesi Sanayi Caddesi No: 4
YENİ MAĞAZACILIK A.Ş.;Diğer İmalatlar;+90 (322)394-3948;http://www.a101.com.tr;a101.com.tr;Acidereosb Mahallesi Celal Bayar Bulvari No: 33
YENİGÜN ORMAN ÜRN.VE KAĞ.SAN.VE TİC.LTD.ŞTİ.;Kağıt ve Kağıt Ürünlerinin İmalatı;+90 (322)394-5020;http://www.yenigunltd.com;yenigunltd.com;Acidereosb Mahallesi Sanayi Caddesi No: 6
YIL-KİM KİMYA TİNER SAN.LTD.ŞTİ.;Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)394-4492;http://www.myboya.com.tr;myboya.com.tr;Acidereosb Mahallesi Zafer Caddesi No: 5
YILPACK AMBALAJ SANAYİ VE TİCARET ANONİM ŞİRKETİ;Kauçuk ve Plastik Ürünlerin İmalatı;0322 394 37 93;https://yilpack.com/;yilpack.com;H. Sabancı Org. San. Bölgesi İnönü Bulvarı No:15 Sarıçam/Adana
Yılsan Plastik Ambalaj Sanayi ve Ticaret Anonim Şirketi;Kauçuk ve Plastik Ürünlerin İmalatı;+90(322)882-0220;https://yilsan.com/;yilsan.com;Acıdereosb Mahallesi Başak Caddesi 3 Adana Sarıçam
Yonpaş Orman Ürünleri San. Tic. A.Ş.;Ağaç, Ağaç Ürünleri ve Mantar Ürünleri İmalatı;+90(322)346-0404;https://yonpas.com;yonpas.com;Acıdereosb Mahallesi Atatürk Bulvarı No: 12 Adana Sarıçam
YURTBAY SERAMİK SAN. TİC. A.Ş.;Diğer Metalik Olmayan Mineral Ürünlerin İmalatı, Kimyasalların ve Kimyasal Ürünlerin İmalatı;+90 (322)342-1002;http://www.yurtbay.com.tr;yurtbay.com.tr;Acidereosb Mahallesi Ismet Atli Caddesi No: 11
YZD ELEKTRİK İNŞ.TİC.VE SAN.LTD.ŞTİ.;Elektrikli Teçhizat İmalatı;+90 (322)394-5194;http://www.yzd.com.tr;yzd.com.tr;Acidereosb Mahallesi Inönü Bulvari No: 11
ZA METAL KUTU AMBALAJ SAN.VE TİC.A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3476;http://www.zaambalaj.com.tr;zaambalaj.com.tr;Acidereosb Mahallesi Mehmet Akif Ersoy Bulvari No: 8
ZAHİT ALÜMİNYUM SAN. VE TİC. A.Ş.;Fabrikasyon Metal Ürünleri İmalatı;+90 (322)394-3502;http://www.zahit.com.tr;zahit.com.tr;Acidereosb Mahallesi Oğuz Kağan Köksal Caddesi No: 5
ZİRAAT BANKASI A.Ş.;Diğer İmalatlar;+90 (322)394-3359;http://www.ziraat.com.tr;ziraat.com.tr;Acidereosb Mahallesi Turgut Özal Bulvari No: 9
